Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,W7AIA2M,147.24,+,0.6,Tone,94.8,88.5,23,NN,FM,5,,W7AIA 2M Repeater Livingston Mtn,,,
2,W7AIA70,443.125,+,5,Tone,94.8,88.5,23,NN,FM,5,,W7AIA 70cm Repeater Livingston Mtn,,,
3,W7AIAS,146.58,,0,,88.5,88.5,23,NN,FM,5,,W7AIA Simplex Nets,,,
4,W7LT,146.84,-,0.6,,88.5,88.5,23,NN,FM,5,,PARC W7LT 2M Repeater Livingston Mtn,,,
5,WA7ROB,145.15,-,0.6,Tone,94.8,88.5,23,NN,0,5,,Gorge 2M Mt. Defiance,,,
6,AB7FVAN,145.37,-,0.6,Tone,123,88.5,23,NN,FM,5,,AB7F Repeater System Vancouver http://ab7f.mooo.com/,,,
7,AB7FRAN,444.875,+,5,Tone,100,88.5,23,NN,FM,5,,AB7F Repeater System Randle http://ab7f.mooo.com/,,,
8,KJ7IYR,145.43,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,Sandy 2M EchoLink,,,
9,ORARES,146.46,,0,,88.5,88.5,23,NN,FM,5,,Oregon ARES 2M Simplex,,,
10,UNDRWD,147.2,+,0.6,Tone,100,88.5,23,NN,FM,5,,Gorge 2M Underwood Mtn,,,
11,REDMTN,145.25,+,0.6,Tone,186.2,88.5,23,NN,FM,5,,Gorge 2M Repeater Red Mtn.,,,
12,APRS,144.39,,0,,,,,,,,,,,,
13,WSPR,144.489,,0,,,,,,,,,,,,
14,1SIM2M,146.52,,0,,,,,,,,,,,,
15,2SIM2M,147.5,,0,,,,,,,,,,,,
16,3SIM2M,146.4,,0,,,,,,,,,,,,
17,4SIM2M,147.42,,0,,,,,,,,,,,,
18,5SIM2M,146.46,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20,SKPOLN,453.675,,0,,88.5,88.5,23,NN,FM,5,,Skamania Police North,,,
